"source","target","developer_comments"
"mod_name","人力资源",""
"mod_description","一个允许你分配额外人员从而通过轮班提高效率的模组。",""
"furniture_hr_closet_001","一个允许分配额外工人的储物柜。",""
"furniture_hr_closet_003","一个允许分配额外工人的抽屉。",""
"furniture_hr_desk","一张允许分配额外工人的办公桌。",""
"furniture_hr_laboratory20","一种允许分配额外研究人员的科学设备。",""
"furniture_hr_laboratory21","一种允许分配额外研究人员的科学设备。",""
"furniture_hr_laboratory22","一种允许分配额外研究人员的科学设备。",""
"furniture_hr_closet_003_hospital","一个允许管理额外病人的柜子。",""
"furniture_hr_desk_hospital","一张允许管理额外病人的办公桌。",""
"furniture_hr_shelf0_hospital","一个允许管理额外病人的柜子。",""
